PUBLIC  ROAD  LENGTH - 2016,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"September 18, 2017                                ",,,,,,,,,,,,,,,,,TABLE HM-20,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Alabama, 571 , -," 2,005 "," 3,976 "," 12,239 "," 6,485 "," 49,416 "," 74,691 ", 433 , 29 ," 1,327 "," 2,390 "," 3,617 ", 186 ," 19,303 "," 27,285 "," 101,975 ",
Alaska," 1,002 ", -, 799 , 431 ," 1,371 "," 1,426 "," 7,682 "," 12,710 ", 79 , -, 140 , 200 , 251 , 235 ," 1,912 "," 2,818 "," 15,528 ",
Arizona, 916 , 18 ," 1,210 "," 1,284 "," 4,205 "," 1,882 "," 30,170 "," 39,686 ", 252 , 214 , 844 ," 2,636 "," 1,928 ", 217 ," 20,258 "," 26,349 "," 66,035 ",
Arkansas, 439 , 72 ," 1,899 "," 3,061 "," 11,820 "," 6,902 "," 61,292 "," 85,485 ", 310 , 102 , 628 ," 1,831 "," 2,178 ", 241 ," 11,841 "," 17,131 "," 102,616 ",
California," 1,186 ", 369 ," 3,260 "," 6,143 "," 11,935 "," 7,540 "," 45,580 "," 76,013 "," 1,264 "," 1,556 "," 6,762 "," 11,040 "," 12,612 ", 299 ," 71,254 "," 104,787 "," 180,800 ",
Colorado, 648 , 28 ," 2,569 "," 3,462 "," 5,450 "," 8,867 "," 47,233 "," 68,258 ", 304 , 324 ," 1,068 "," 1,803 "," 1,857 ", 66 ," 15,147 "," 20,570 "," 88,828 ",
Connecticut, 29 , 36 , 119 , 221 , 857 , 418 ," 4,011 "," 5,689 ", 317 , 244 , 710 ," 1,674 "," 1,816 ", 313 ," 10,768 "," 15,842 "," 21,531 ",
Delaware, -, 24 , 118 , 103 , 431 , 273 ," 2,044 "," 2,994 ", 41 , 33 , 196 , 206 , 372 , 57 ," 2,529 "," 3,433 "," 6,427 ",
District of Columbia, -, -, -, -, -, -, -, -, 12 , 16 , 107 , 164 , 156 , -," 1,055 "," 1,509 "," 1,509 ",
Florida, 717 , 176 ," 2,619 "," 2,191 "," 4,025 "," 3,206 "," 23,506 "," 36,440 ", 778 , 574 ," 3,975 "," 4,213 "," 6,449 "," 1,870 "," 68,438 "," 86,296 "," 122,736 ",
