FUNCTIONAL  SYSTEM  TRAVEL - 2015 (1),,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Alabama," 6,012 ", -," 5,371 "," 4,415 "," 4,281 "," 1,350 "," 6,853 "," 28,283 "," 8,736 ", 532 ," 9,508 "," 7,093 "," 4,177 ", 63 ," 8,867 "," 38,974 "," 67,257 "
Alaska, 835 , -, 305 , 117 , 301 , 144 , 424 ," 2,126 ", 750 , -, 927 , 539 , 239 , 129 , 337 ," 2,920 "," 5,045 "
Arizona," 6,361 ", 30 ," 3,301 "," 1,566 "," 2,440 ", 448 ," 1,444 "," 15,589 "," 7,468 "," 7,617 "," 8,057 "," 15,555 "," 4,100 ", 141 ," 6,518 "," 49,455 "," 65,045 "
Arkansas," 3,860 ", 369 ," 3,585 "," 2,786 "," 3,444 ", 652 ," 2,167 "," 16,864 "," 5,072 "," 1,041 "," 3,686 "," 4,470 "," 1,787 ", 64 ," 1,912 "," 18,033 "," 34,897 "
California," 15,463 "," 5,225 "," 10,007 "," 7,547 "," 7,604 "," 2,523 "," 5,311 "," 53,680 "," 72,627 "," 60,406 "," 53,076 "," 48,893 "," 24,614 ", 302 ," 21,941 "," 281,859 "," 335,539 "
Colorado," 4,444 ", 236 ," 4,081 "," 1,992 "," 1,747 ", 735 ," 1,471 "," 14,707 "," 9,030 "," 5,219 "," 9,087 "," 6,158 "," 2,619 ", 45 ," 3,574 "," 35,730 "," 50,437 "
Connecticut, 469 , 297 , 441 , 408 , 807 , 145 , 592 ," 3,158 "," 9,926 "," 4,147 "," 3,803 "," 5,153 "," 2,598 ", 234 ," 2,573 "," 28,434 "," 31,592 "
Delaware, -, 610 , 865 , 321 , 606 , 170 , 428 ," 3,000 "," 1,351 ", 603 ," 2,118 "," 1,077 ", 794 , 51 , 936 ," 6,931 "," 9,931 "
District of Columbia, -, -, -, -, -, -, -, -, 457 , 374 , 991 , 704 , 261 , -, 770 ," 3,557 "," 3,557 "
Florida," 9,589 "," 1,815 "," 7,745 "," 3,476 "," 3,479 "," 1,427 "," 5,599 "," 33,130 "," 28,456 "," 13,367 "," 43,386 "," 27,845 "," 18,199 "," 3,414 "," 39,186 "," 173,852 "," 206,982 "
