FUNCTIONAL  SYSTEM  TRAVEL - 2011  (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,,,,,,,,,,,,,,,,,,,
,RURAL,,,,,,,,URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,,,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,,,,,,,,,,,,,,,,,,,
Massachusetts," 1,282 ", 255 , 470 , 565 , 653 , 156 , 692 ," 4,073 "," 15,268 "," 5,651 "," 10,899 "," 8,744 "," 2,711 ", -," 7,446 "," 50,719 "," 54,792 ",,,,,,,,,,,,,,,,,,,
Michigan," 5,296 "," 2,492 "," 4,172 "," 6,573 "," 8,083 ", 948 ," 2,411 "," 29,976 "," 15,411 "," 5,565 "," 16,968 "," 15,294 "," 4,716 ", -," 6,824 "," 64,779 "," 94,754 ",,,,,,,,,,,,,,,,,,,
Minnesota," 4,119 ", 36 ," 7,286 "," 4,927 "," 4,248 "," 1,339 "," 2,628 "," 24,584 "," 8,225 "," 3,448 "," 4,706 "," 8,582 "," 2,659 ", 4 ," 4,477 "," 32,101 "," 56,685 ",,,,,,,,,,,,,,,,,,,
Mississippi," 3,771 ", 1 ," 5,620 "," 3,393 "," 4,162 ", 455 ," 5,661 "," 23,063 "," 3,299 ", 487 ," 5,001 "," 2,366 "," 1,606 ", -," 3,030 "," 15,788 "," 38,851 ",,,,,,,,,,,,,,,,,,,
Missouri," 5,963 "," 3,703 "," 4,620 "," 3,524 "," 5,152 ", 648 ," 5,397 "," 29,007 "," 12,496 "," 4,775 "," 6,331 "," 5,515 "," 2,950 ", 0 ," 7,716 "," 39,782 "," 68,789 ",,,,,,,,,,,,,,,,,,,
Montana," 2,449 ", -," 2,284 "," 1,191 "," 1,134 ", 438 ," 1,222 "," 8,719 ", 361 , -, 985 , 553 , 332 , -, 710 ," 2,941 "," 11,660 ",,,,,,,,,,,,,,,,,,,
Nebraska," 2,605 "," 1,064 "," 2,248 "," 2,299 "," 1,531 ", 238 ," 1,091 "," 11,076 "," 1,365 ", 903 ," 2,142 "," 1,979 ", 533 , -," 1,096 "," 8,017 "," 19,093 ",,,,,,,,,,,,,,,,,,,
Nevada," 1,898 ", 3 ," 1,530 ", 452 , 399 , 211 , 390 ," 4,884 "," 3,466 "," 1,713 "," 2,936 "," 4,456 ", 4 ," 2,065 "," 4,666 "," 19,306 "," 24,189 ",,,,,,,,,,,,,,,,,,,
New Hampshire," 1,253 ", 313 ," 1,056 ", 953 ," 1,054 ", 562 , 391 ," 5,582 "," 1,564 ", 946 ," 1,261 "," 1,769 ", 885 , -, 714 ," 7,138 "," 12,720 ",,,,,,,,,,,,,,,,,,,
New Jersey," 1,511 ", -," 1,813 ", 780 ," 1,168 ", 290 , 736 ," 6,298 "," 13,436 "," 11,194 "," 16,083 "," 11,079 "," 3,996 ", -," 11,006 "," 66,796 "," 73,094 ",,,,,,,,,,,,,,,,,,,
New Mexico," 4,376 ", -," 3,152 "," 1,445 "," 1,307 ", 505 ," 3,819 "," 14,604 "," 2,640 ", -," 4,014 "," 1,589 ", -," 1,208 "," 1,595 "," 11,046 "," 25,650 ",,,,,,,,,,,,,,,,,,,
New York," 6,151 ", 642 ," 3,177 "," 4,740 "," 4,125 ","2,813","5,328","26,977"," 20,019 "," 16,925 ","18,294"," 17,448 "," 7,508 ", -,"15,347","95,541","122,517",,,,,,,,,,,,,,,,,,,
North Carolina," 6,045 ", 29 ," 7,678 "," 5,279 "," 8,702 "," 3,417 "," 9,117 "," 40,267 "," 15,195 "," 5,611 "," 12,879 "," 11,939 "," 5,420 ", 0 ," 12,462 "," 63,506 "," 103,772 ",,,,,,,,,,,,,,,,,,,
North Dakota," 1,613 ", -," 2,240 ", 795 ," 1,058 ", -," 1,057 "," 6,764 ", 432 , -, 706 , 581 , 249 , -, 399 ," 2,367 "," 9,131 ",,,,,,,,,,,,,,,,,,,
Ohio," 9,015 ", -," 6,553 "," 4,306 "," 8,724 "," 2,017 "," 5,732 "," 36,347 "," 22,374 "," 5,516 "," 12,431 "," 13,029 "," 9,429 ", -," 12,864 "," 75,643 "," 111,990 ",,,,,,,,,,,,,,,,,,,
Oklahoma ," 5,085 ", -," 5,017 "," 2,884 "," 5,664 ", 181 ," 2,741 "," 21,572 "," 4,786 "," 2,811 "," 5,803 "," 5,596 "," 1,280 ", -," 5,615 "," 25,892 "," 47,464 ",,,,,,,,,,,,,,,,,,,
Oregon," 4,131 ", -," 4,376 "," 2,058 "," 2,016 ", 595 ," 1,489 "," 14,666 "," 4,478 "," 1,320 "," 4,766 "," 3,714 "," 2,273 ", -," 2,156 "," 18,707 "," 33,373 ",,,,,,,,,,,,,,,,,,,
Pennsylvania," 10,539 ","1,882"," 4,180 "," 6,882 "," 4,426 "," 2,096 "," 5,643 "," 35,649 "," 13,123 "," 6,214 "," 16,358 "," 12,601 "," 7,822 ", -," 7,436 "," 63,556 "," 99,204 ",,,,,,,,,,,,,,,,,,,
Rhode Island, 398 , -, 133 , 130 , 160 , 36 , 22 , 879 ," 1,742 "," 1,193 "," 2,028 ", 979 , 796 , -, 285 ," 7,022 "," 7,901 ",,,,,,,,,,,,,,,,,,,
South Carolina," 7,461 ", -," 3,448 "," 4,947 "," 4,889 ", 278 ," 2,378 "," 23,401 "," 6,105 ", 813 ," 7,250 "," 5,566 "," 3,455 ", -," 2,141 "," 25,329 "," 48,730 ",,,,,,,,,,,,,,,,,,,
