FUNCTIONAL  SYSTEM  TRAVEL - 2014 (1),,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Alabama," 5,808 ", -," 5,263 "," 4,319 "," 4,221 "," 1,316 "," 6,726 "," 27,653 "," 8,415 ", 471 ," 9,286 "," 6,910 "," 4,188 ", 60 ," 8,684 "," 38,014 "," 65,667 "
Alaska, 803 , -, 306 , 117 , 295 , 141 , 354 ," 2,016 ", 736 , -, 927 , 533 , 237 , 127 , 281 ," 2,840 "," 4,857 "
Arizona," 5,980 ", 50 ," 3,169 "," 1,380 "," 2,685 ", 826 ," 1,450 "," 15,541 "," 6,998 "," 7,645 "," 6,858 "," 13,776 "," 5,104 ", 201 ," 6,506 "," 47,090 "," 62,631 "
Arkansas," 3,717 ", 345 ," 3,518 "," 2,692 "," 3,369 ", 648 ," 2,150 "," 16,438 "," 5,015 "," 1,039 "," 3,663 "," 4,210 "," 1,734 ", 60 ," 1,865 "," 17,586 "," 34,024 "
California," 15,382 ", 872 ," 13,008 "," 8,507 "," 8,800 "," 2,205 "," 3,667 "," 52,440 "," 71,596 "," 55,166 "," 60,378 "," 49,989 "," 21,334 ", 136 ," 21,816 "," 280,417 "," 332,857 "
Colorado," 4,235 ", 236 ," 4,025 "," 2,020 "," 1,738 ", 721 ," 1,442 "," 14,417 "," 8,658 "," 5,004 "," 8,796 "," 6,029 "," 2,588 ", 37 ," 3,457 "," 34,569 "," 48,985 "
Connecticut, 469 , 287 , 420 , 404 , 829 , 125 , 586 ," 3,120 "," 9,802 "," 3,974 "," 3,786 "," 5,147 "," 2,684 ", 57 ," 2,621 "," 28,071 "," 31,190 "
Delaware, -, 558 , 848 , 314 , 589 , 159 , 406 ," 2,873 "," 1,247 ", 590 ," 2,083 "," 1,052 ", 775 , 53 , 923 ," 6,723 "," 9,596 "
District of Columbia, -, -, -, -, -, -, -, -, 429 , 362 ," 1,014 ", 692 , 257 , -, 774 ," 3,528 "," 3,528 "
Florida," 9,134 "," 1,727 "," 7,310 "," 3,322 "," 3,351 "," 1,365 "," 5,596 "," 31,805 "," 27,594 "," 12,628 "," 42,246 "," 26,862 "," 17,578 "," 3,310 "," 39,018 "," 169,235 "," 201,040 "
