 ,,,,,,,,,,,,,,,
STATE MOTOR-VEHICLE REGISTRATIONS - 2017,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
December 2018,(Revised February 2021),,,,,,,,,,,,,,TABLE MV-1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,AUTOMOBILES,,,BUSES,,,TRUCKS,,,MOTORCYCLES,,,ALL MOTOR VEHICLES,,
STATE,PRIVATE AND,,,,,,,,,,,,,,
,COMMERCIAL,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,
,(INCLUDING,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL
,TAXICABS),,,,,,,,,,,,,,
Alabama,"2,021,395 ","44,068 ","2,065,463 ","5,550 ",132 ,"5,682 ","2,806,624 ","66,119 ","2,872,743 ","111,247 ",938 ,"112,185 ","4,944,816 ","111,257 ","5,056,073 "
Alaska ,"169,412 ","4,075 ","173,487 ","7,496 ",584 ,"8,080 ","573,399 ","17,680 ","591,079 ","31,852 ",7 ,"31,859 ","782,159 ","22,346 ","804,505 "
Arizona,"2,371,199 ","20,425 ","2,391,624 ","1,508 ","7,543 ","9,051 ","3,356,363 ","43,341 ","3,399,704 ","164,053 ",2 ,"164,055 ","5,893,123 ","71,311 ","5,964,434 "
Arkansas,"914,265 ","12,524 ","926,789 ","11,229 ",712 ,"11,941 ","1,778,174 ","27,336 ","1,805,510 ","89,457 ",— ,"89,457 ","2,793,125 ","40,572 ","2,833,697 "
California ,"14,615,499 ","245,468 ","14,860,967 ","35,253 ","64,664 ","99,917 ","14,693,888 ","297,826 ","14,991,714 ","828,083 ","14,460 ","842,543 ","30,172,723 ","622,418 ","30,795,141 "
Colorado ,"1,768,221 ","16,837 ","1,785,058 ","5,998 ","7,307 ","13,305 ","3,231,050 ","40,545 ","3,271,595 ","190,002 ",— ,"190,002 ","5,195,271 ","64,689 ","5,259,960 "
Connecticut ,"1,301,153 ","1,186 ","1,302,339 ","11,342 ",36 ,"11,378 ","1,417,371 ","5,131 ","1,422,502 ","90,111 ",20 ,"90,131 ","2,819,977 ","6,373 ","2,826,350 "
Delaware ,"417,700 ","1,499 ","419,199 ","3,335 ",428 ,"3,763 ","516,931 ","3,030 ","519,961 ","27,810 ",— ,"27,810 ","965,776 ","4,957 ","970,733 "
Dist. of Col. ,"191,723 ","16,418 ","208,141 ","1,002 ","3,883 ","4,885 ","113,857 ","14,843 ","128,700 ","3,897 ",393 ,"4,290 ","310,479 ","35,537 ","346,016 "
Florida ,"7,670,861 ","107,632 ","7,778,493 ","25,004 ","34,592 ","59,596 ","8,396,619 ","138,294 ","8,534,913 ","583,685 ","2,582 ","586,267 ","16,676,169 ","283,100 ","16,959,269 "
Georgia ,"3,481,721 ","54,334 ","3,536,055 ","12,164 ","24,254 ","36,418 ","4,583,971 ","81,959 ","4,665,930 ","203,064 ",858 ,"203,922 ","8,280,920 ","161,405 ","8,442,325 "
Hawaii,"504,605 ","7,781 ","512,386 ","1,745 ","1,288 ","3,033 ","693,360 ","15,186 ","708,546 ","35,203 ",373 ,"35,576 ","1,234,913 ","24,628 ","1,259,541 "
Idaho,"547,567 ","2,439 ","550,006 ","3,243 ",627 ,"3,870 ","1,208,288 ","10,442 ","1,218,730 ","63,266 ",31 ,"63,297 ","1,822,364 ","13,539 ","1,835,903 "
Illinois ,"4,617,096 ","38,748 ","4,655,844 ","34,177 ",182 ,"34,359 ","5,806,097 ","60,517 ","5,866,614 ","333,943 ",— ,"333,943 ","10,791,313 ","99,447 ","10,890,760 "
Indiana ,"2,258,547 ","2,893 ","2,261,440 ","7,227 ","13,498 ","20,725 ","3,627,258 ","10,032 ","3,637,290 ","250,579 ",— ,"250,579 ","6,143,611 ","26,423 ","6,170,034 "
Iowa ,"1,257,304 ","11,692 ","1,268,996 ","3,945 ","5,339 ","9,284 ","2,253,531 ","23,663 ","2,277,194 ","194,273 ",330 ,"194,603 ","3,709,053 ","41,024 ","3,750,077 "
Kansas,"983,245 ","4,014 ","987,259 ","3,961 ","2,267 ","6,228 ","1,618,733 ","9,761 ","1,628,494 ","95,892 ",— ,"95,892 ","2,701,831 ","16,042 ","2,717,873 "
Kentucky,"1,659,583 ","31,502 ","1,691,085 ","1,406 ","9,353 ","10,759 ","2,439,925 ","50,273 ","2,490,198 ","101,085 ",78 ,"101,163 ","4,201,999 ","91,206 ","4,293,205 "
Louisiana (2),"1,360,611 ","28,825 ","1,389,436 ","22,183 ","6,977 ","29,160 ","2,320,545 ","54,007 ","2,374,552 ","113,664 ",— ,"113,664 ","3,817,003 ","89,809 ","3,906,812 "
Maine ,"383,228 ","4,005 ","387,233 ","1,313 ","3,026 ","4,339 ","643,010 ","8,339 ","651,349 ","51,466 ",1 ,"51,467 ","1,079,017 ","15,371 ","1,094,388 "
Maryland,"1,977,742 ","29,162 ","2,006,904 ","15,233 ","7,739 ","22,972 ","2,167,715 ","41,730 ","2,209,445 ","118,201 ",76 ,"118,277 ","4,278,891 ","78,707 ","4,357,598 "
Massachusetts ,"2,204,455 ","4,013 ","2,208,468 ","13,255 ",243 ,"13,498 ","2,662,640 ","11,684 ","2,674,324 ","168,931 ",— ,"168,931 ","5,049,281 ","15,940 ","5,065,221 "
Michigan,"3,233,241 ","24,232 ","3,257,473 ","3,397 ","5,340 ","8,737 ","4,947,020 ","46,380 ","4,993,400 ","257,455 ",— ,"257,455 ","8,441,113 ","75,952 ","8,517,065 "
Minnesota ,"2,129,307 ","16,880 ","2,146,187 ","14,338 ","5,642 ","19,980 ","3,243,782 ","31,148 ","3,274,930 ","241,556 ",— ,"241,556 ","5,628,983 ","53,670 ","5,682,653 "
Mississippi ,"820,128 ","2,736 ","822,864 ","2,023 ","5,995 ","8,018 ","1,190,809 ","7,661 ","1,198,470 ","28,124 ",— ,"28,124 ","2,041,084 ","16,392 ","2,057,476 "
Missouri,"2,122,581 ","18,469 ","2,141,050 ","27,057 ",123 ,"27,180 ","3,227,854 ","34,358 ","3,262,212 ","138,294 ",— ,"138,294 ","5,515,786 ","52,950 ","5,568,736 "
Montana ,"440,809 ",583 ,"441,392 ","4,538 ",164 ,"4,702 ","1,104,946 ","6,223 ","1,111,169 ","256,587 ",4 ,"256,591 ","1,806,880 ","6,974 ","1,813,854 "
Nebraska,"662,491 ","14,549 ","677,040 ","13,526 ",38 ,"13,564 ","1,190,469 ","28,296 ","1,218,765 ","55,716 ",20 ,"55,736 ","1,922,202 ","42,903 ","1,965,105 "
Nevada ,"1,039,514 ","7,994 ","1,047,508 ",504 ,"2,694 ","3,198 ","1,313,087 ","15,617 ","1,328,704 ","76,027 ",5 ,"76,032 ","2,429,132 ","26,310 ","2,455,442 "
New Hampshire,"502,617 ","2,764 ","505,381 ",566 ,"2,305 ","2,871 ","726,620 ","5,447 ","732,067 ","78,702 ",96 ,"78,798 ","1,308,505 ","10,612 ","1,319,117 "
New Jersey ,"2,774,916 ","23,783 ","2,798,699 ","22,867 ","2,230 ","25,097 ","3,045,425 ","35,511 ","3,080,936 ","152,979 ",— ,"152,979 ","5,996,187 ","61,524 ","6,057,711 "
New Mexico,"601,647 ","7,847 ","609,494 ","6,071 ",207 ,"6,278 ","1,043,650 ","22,862 ","1,066,512 ","57,718 ",— ,"57,718 ","1,709,086 ","30,916 ","1,740,002 "
New York ,"4,541,749 ","21,286 ","4,563,035 ","74,639 ","5,807 ","80,446 ","5,780,052 ","41,744 ","5,821,796 ","392,176 ",2 ,"392,178 ","10,788,616 ","68,839 ","10,857,455 "
North Carolina,"3,271,128 ","46,790 ","3,317,918 ","11,653 ","20,840 ","32,493 ","4,458,666 ","72,797 ","4,531,463 ","188,580 ",263 ,"188,843 ","7,930,027 ","140,690 ","8,070,717 "
North Dakota,"272,290 ","4,255 ","276,545 ","1,457 ","1,874 ","3,331 ","711,318 ","13,623 ","724,941 ","51,927 ",14 ,"51,941 ","1,036,992 ","19,766 ","1,056,758 "
Ohio,"4,561,052 ","44,407 ","4,605,459 ","34,699 ","6,556 ","41,255 ","5,686,290 ","66,056 ","5,752,346 ","410,165 ",22 ,"410,187 ","10,692,206 ","117,041 ","10,809,247 "
Oklahoma (2),"1,330,082 ","7,542 ","1,337,624 ","1,870 ","1,285 ","3,155 ","2,249,920 ","17,289 ","2,267,209 ","136,189 ",1 ,"136,190 ","3,718,061 ","26,117 ","3,744,178 "
Oregon ,"1,517,573 ","24,888 ","1,542,461 ","8,541 ","9,150 ","17,691 ","2,354,242 ","46,319 ","2,400,561 ","141,987 ",751 ,"142,738 ","4,022,343 ","81,108 ","4,103,451 "
Pennsylvania,"4,415,164 ","48,103 ","4,463,267 ","53,192 ","2,743 ","55,935 ","5,719,230 ","73,616 ","5,792,846 ","376,390 ",768 ,"377,158 ","10,563,976 ","125,230 ","10,689,206 "
Rhode Island ,"413,227 ","7,086 ","420,313 ","1,872 ",401 ,"2,273 ","410,744 ","8,570 ","419,314 ","30,814 ",100 ,"30,914 ","856,657 ","16,157 ","872,814 "
South Carolina,"1,725,328 ","83,073 ","1,808,401 ","5,476 ","12,252 ","17,728 ","2,342,149 ","117,690 ","2,459,839 ","117,660 ",472 ,"118,132 ","4,190,613 ","213,487 ","4,404,100 "
South Dakota ,"347,216 ","5,964 ","353,180 ",— ,"2,614 ","2,614 ","769,748 ","15,353 ","785,101 ","116,807 ",654 ,"117,461 ","1,233,771 ","24,585 ","1,258,356 "
Tennessee ,"2,274,107 ","50,897 ","2,325,004 ","2,918 ","26,240 ","29,158 ","3,201,416 ","78,943 ","3,280,359 ","163,619 ","2,349 ","165,968 ","5,642,060 ","158,429 ","5,800,489 "
Texas ,"8,084,454 ","92,425 ","8,176,879 ","18,425 ","48,718 ","67,143 ","13,341,345 ","180,708 ","13,522,053 ","363,764 ",926 ,"364,690 ","21,807,988 ","322,777 ","22,130,765 "
Utah,"914,321 ","10,731 ","925,052 ","2,460 ","3,649 ","6,109 ","1,319,576 ","21,043 ","1,340,619 ","83,792 ",201 ,"83,993 ","2,320,149 ","35,624 ","2,355,773 "
Vermont,"217,906 ","4,030 ","221,936 ",322 ,748 ,"1,070 ","360,231 ","7,416 ","367,647 ","30,955 ",— ,"30,955 ","609,414 ","12,194 ","621,608 "
Virginia,"3,206,183 ","45,156 ","3,251,339 ","8,322 ","25,946 ","34,268 ","3,964,313 ","70,613 ","4,034,926 ","193,298 ",653 ,"193,951 ","7,372,116 ","142,368 ","7,514,484 "
Washington ,"2,854,542 ","71,223 ","2,925,765 ","5,441 ","18,125 ","23,566 ","3,963,375 ","112,089 ","4,075,464 ","231,400 ",1 ,"231,401 ","7,054,758 ","201,438 ","7,256,196 "
West Virginia (2),"550,117 ","12,867 ","562,984 ",244 ,"3,098 ","3,342 ","1,037,704 ","26,625 ","1,064,329 ","59,236 ","1,346 ","60,582 ","1,647,301 ","43,936 ","1,691,237 "
Wisconsin ,"2,058,730 ","33,854 ","2,092,584 ","15,563 ",4 ,"15,567 ","3,108,154 ","55,660 ","3,163,814 ","324,260 ",410 ,"324,670 ","5,506,707 ","89,928 ","5,596,635 "
Wyoming ,"190,149 ","3,374 ","193,523 ","2,665 ","1,554 ","4,219 ","579,881 ","12,674 ","592,555 ","28,956 ",4 ,"28,960 ","801,651 ","17,606 ","819,257 "
Total,"109,749,701 ","1,427,328 ","111,177,029 ","572,215 ","411,017 ","983,232 ","149,301,365 ","2,304,070 ","151,605,434 ","8,634,897 ","29,211 ","8,664,108 ","268,258,178 ","4,171,625 ","272,429,803 "
"Sums may not equal to totals due to rounding.
(1) Many states do not maintain records on publicly-owned  vehicles,. Total may not represent an accurate count of the total number of publicly-owned vehicles.
(2) Poor quality data; estimated by FHWA based on State reported data or data from secondary sources. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
